API_version,element_type,element_name,element_type_change_type,changed_element_type,changed_element_name,changed_element_modification_type
24,Package,android.opengl,Changes,Classes,GLES31,Changed
24,Package,android.opengl,Changes,Classes,GLSurfaceView,Changed
24,Package,android.os,Changes,Classes,CpuUsageInfo,Added
24,Package,android.os,Changes,Classes,DeadSystemException,Added
24,Package,android.os,Changes,Classes,FileUriExposedException,Added
24,Package,android.os,Changes,Classes,HardwarePropertiesManager,Added
24,Package,android.os,Changes,Classes,LocaleList,Added
24,Package,android.os,Changes,Classes,Build.VERSION_CODES,Changed
24,Package,android.os,Changes,Classes,PowerManager,Changed
24,Package,android.os,Changes,Classes,Process,Changed
24,Package,android.os,Changes,Classes,StrictMode.VmPolicy.Builder,Changed
24,Package,android.os,Changes,Classes,UserHandle,Changed
24,Package,android.os,Changes,Classes,UserManager,Changed
24,Package,android.os.storage,Changes,Classes,StorageVolume,Added
24,Package,android.os.storage,Changes,Classes,StorageManager,Changed
24,Package,android.preference,Changes,Classes,Preference,Changed
24,Package,android.preference,Changes,Classes,PreferenceManager,Changed
24,Package,android.print,Changes,Classes,PrinterInfo.Builder,Changed
24,Package,android.printservice,Changes,Classes,CustomPrinterIconCallback,Added
24,Package,android.printservice,Changes,Classes,PrintJob,Changed
24,Package,android.printservice,Changes,Classes,PrinterDiscoverySession,Changed
24,Package,android.provider,Changes,Classes,BlockedNumberContract,Added
24,Package,android.provider,Changes,Classes,BlockedNumberContract. BlockedNumbers,Added
24,Package,android.provider,Changes,Classes,CallLog.Calls,Changed
24,Package,android.provider,Changes,Classes,ContactsContract.CommonDataKinds. Callable,Changed
24,Package,android.provider,Changes,Classes,ContactsContract.CommonDataKinds. Email,Changed
24,Package,android.provider,Changes,Classes,ContactsContract.CommonDataKinds. Organization,Changed
24,Package,android.provider,Changes,Classes,ContactsContract.CommonDataKinds. Phone,Changed
24,Package,android.provider,Changes,Classes,ContactsContract.CommonDataKinds. StructuredName,Changed
24,Package,android.provider,Changes,Classes,ContactsContract.Contacts,Changed
24,Package,android.provider,Changes,Classes,ContactsContract.Directory,Changed
24,Package,android.provider,Changes,Classes,ContactsContract.Intents,Changed
24,Package,android.provider,Changes,Interfaces,ContactsContract.PhoneLookupColumns,Changed
24,Package,android.provider,Changes,Interfaces,ContactsContract.RawContactsColumns,Changed
24,Package,android.provider,Changes,Classes,DocumentsContract,Changed
24,Package,android.provider,Changes,Classes,DocumentsContract.Document,Changed
24,Package,android.provider,Changes,Classes,DocumentsContract.Root,Changed
24,Package,android.provider,Changes,Classes,DocumentsProvider,Changed
24,Package,android.provider,Changes,Classes,Settings,Changed
24,Package,android.provider,Changes,Classes,Settings.Global,Changed
24,Package,android.provider,Changes,Classes,Settings.Secure,Changed
24,Package,android.provider,Changes,Classes,Settings.System,Changed
24,Package,android.provider,Changes,Classes,Telephony.Sms.Intents,Changed
24,Package,android.provider,Changes,Classes,VoicemailContract,Changed
24,Package,android.provider,Changes,Classes,VoicemailContract.Status,Changed
24,Package,android.provider,Changes,Classes,VoicemailContract.Voicemails,Changed
24,Package,android.renderscript,Changes,Classes,Allocation,Changed
24,Package,android.renderscript,Changes,Classes,Script,Changed
24,Package,android.security,Changes,Classes,NetworkSecurityPolicy,Changed
24,Package,android.security.keystore,Changes,Classes,KeyGenParameterSpec,Changed
24,Package,android.security.keystore,Changes,Classes,KeyGenParameterSpec.Builder,Changed
24,Package,android.security.keystore,Changes,Classes,KeyInfo,Changed
24,Package,android.security.keystore,Changes,Classes,KeyProtection,Changed
24,Package,android.security.keystore,Changes,Classes,KeyProtection.Builder,Changed
24,Package,android.service.carrier,Changes,Classes,CarrierMessagingService,Changed
24,Package,android.service.media,Changes,Classes,MediaBrowserService,Changed
24,Package,android.service.media,Changes,Classes,MediaBrowserService.BrowserRoot,Changed
24,Package,android.service.notification,Changes,Classes,Condition,Added
24,Package,android.service.notification,Changes,Classes,ConditionProviderService,Added
24,Package,android.service.notification,Changes,Classes,NotificationListenerService,Changed
24,Package,android.service.notification,Changes,Classes,NotificationListenerService. Ranking,Changed
24,Package,android.service.notification,Changes,Classes,StatusBarNotification,Changed
24,Package,android.service.voice,Changes,Classes,VoiceInteractionSession,Changed
24,Package,android.speech.tts,Changes,Classes,UtteranceProgressListener,Changed
24,Package,android.telecom,Changes,Classes,CallScreeningService,Added
24,Package,android.telecom,Changes,Classes,CallScreeningService. CallResponse,Added
24,Package,android.telecom,Changes,Classes,CallScreeningService. CallResponse.Builder,Added
24,Package,android.telecom,Changes,Classes,Call.Details,Changed
24,Package,android.telecom,Changes,Classes,Connection,Changed
24,Package,android.telecom,Changes,Classes,ConnectionService,Changed
24,Package,android.telecom,Changes,Classes,InCallService,Changed
24,Package,android.telecom,Changes,Classes,PhoneAccount,Changed
24,Package,android.telecom,Changes,Classes,PhoneAccount.Builder,Changed
24,Package,android.telecom,Changes,Classes,RemoteConference,Changed
24,Package,android.telecom,Changes,Classes,TelecomManager,Changed
24,Package,android.telephony,Changes,Classes,CarrierConfigManager,Changed
24,Package,android.telephony,Changes,Classes,CellIdentityGsm,Changed
24,Package,android.telephony,Changes,Classes,CellIdentityLte,Changed
24,Package,android.telephony,Changes,Classes,CellIdentityWcdma,Changed
24,Package,android.telephony,Changes,Classes,SubscriptionManager,Changed
24,Package,android.telephony,Changes,Classes,TelephonyManager,Changed
24,Package,android.test,Changes,Classes,ActivityInstrumentationTestCase2,Changed
24,Package,android.test,Changes,Classes,ActivityTestCase,Changed
24,Package,android.test,Changes,Classes,ActivityUnitTestCase,Changed
24,Package,android.test,Changes,Classes,AndroidTestCase,Changed
24,Package,android.test,Changes,Classes,AndroidTestRunner,Changed
24,Package,android.test,Changes,Classes,ApplicationTestCase,Changed
24,Package,android.test,Changes,Interfaces,FlakyTest,Changed
24,Package,android.test,Changes,Classes,InstrumentationTestCase,Changed
24,Package,android.test,Changes,Classes,InstrumentationTestRunner,Changed
24,Package,android.test,Changes,Classes,InstrumentationTestSuite,Changed
24,Package,android.test,Changes,Classes,IsolatedContext,Changed
24,Package,android.test,Changes,Classes,MoreAsserts,Changed
24,Package,android.test,Changes,Interfaces,PerformanceTestCase,Changed
24,Package,android.test,Changes,Classes,RenamingDelegatingContext,Changed
24,Package,android.test,Changes,Classes,ServiceTestCase,Changed
24,Package,android.test,Changes,Classes,SingleLaunchActivityTestCase,Changed
24,Package,android.test,Changes,Classes,SyncBaseInstrumentation,Changed
24,Package,android.test,Changes,Interfaces,TestSuiteProvider,Changed
24,Package,android.test,Changes,Classes,TouchUtils,Changed
24,Package,android.test,Changes,Interfaces,UiThreadTest,Changed
24,Package,android.test,Changes,Classes,ViewAsserts,Changed
24,Package,android.test.mock,Changes,Classes,MockApplication,Changed
24,Package,android.test.mock,Changes,Classes,MockContext,Changed
24,Package,android.test.mock,Changes,Classes,MockCursor,Changed
24,Package,android.test.mock,Changes,Classes,MockDialogInterface,Changed
24,Package,android.test.mock,Changes,Classes,MockPackageManager,Changed
24,Package,android.test.mock,Changes,Classes,MockResources,Changed
24,Package,android.test.suitebuilder.annotation,Changes,Classes,LargeTest,Changed
24,Package,android.test.suitebuilder.annotation,Changes,Classes,MediumTest,Changed
24,Package,android.test.suitebuilder.annotation,Changes,Classes,SmallTest,Changed
24,Package,android.test.suitebuilder.annotation,Changes,Classes,Smoke,Changed
24,Package,android.test.suitebuilder.annotation,Changes,Classes,Suppress,Changed
24,Package,android.text,Changes,Classes,Html,Changed
24,Package,android.text,Changes,Classes,TextUtils,Changed
24,Package,android.text,Changes,Classes,TextUtils.SimpleStringSplitter,Changed
24,Package,android.text.style,Changes,Classes,LocaleSpan,Changed
24,Package,android.text.style,Changes,Classes,SuggestionSpan,Changed
24,Package,android.text.util,Changes,Classes,Linkify,Changed
24,Package,android.util,Changes,Classes,FloatProperty,Added
24,Package,android.util,Changes,Classes,IntProperty,Added
24,Package,android.util,Changes,Classes,DisplayMetrics,Changed
24,Package,android.util,Changes,Classes,Patterns,Changed
24,Package,android.view,Changes,Classes,Display.HdrCapabilities,Added
24,Package,android.view,Changes,Classes,DragAndDropPermissions,Added
24,Package,android.view,Changes,Classes,FrameMetrics,Added
24,Package,android.view,Changes,Classes,KeyboardShortcutGroup,Added
24,Package,android.view,Changes,Classes,KeyboardShortcutInfo,Added
24,Package,android.view,Changes,Classes,PixelCopy,Added
24,Package,android.view,Changes,Interfaces,PixelCopy.OnPixelCopyFinishedListener,Added
24,Package,android.view,Changes,Classes,PointerIcon,Added
24,Package,android.view,Changes,Interfaces,Window.OnFrameMetricsAvailableListener,Added
24,Package,android.view,Changes,Interfaces,Window.OnRestrictedCaptionAreaChangedListener,Added
24,Package,android.view,Changes,Classes,AbsSavedState,Changed
24,Package,android.view,Changes,Classes,Display,Changed
24,Package,android.view,Changes,Classes,KeyEvent,Changed
24,Package,android.view,Changes,Classes,MotionEvent,Changed
24,Package,android.view,Changes,Classes,View,Changed
24,Package,android.view,Changes,Classes,View.BaseSavedState,Changed
24,Package,android.view,Changes,Classes,ViewGroup,Changed
24,Package,android.view,Changes,Interfaces,ViewParent,Changed
24,Package,android.view,Changes,Classes,Window,Changed
24,Package,android.view,Changes,Interfaces,Window.Callback,Changed
24,Package,android.view.accessibility,Changes,Classes,AccessibilityNodeInfo,Changed
24,Package,android.view.accessibility,Changes,Classes,AccessibilityNodeInfo. AccessibilityAction,Changed
24,Package,android.view.accessibility,Changes,Classes,AccessibilityWindowInfo,Changed
24,Package,android.view.inputmethod,Changes,Classes,BaseInputConnection,Changed
24,Package,android.view.inputmethod,Changes,Classes,EditorInfo,Changed
24,Package,android.view.inputmethod,Changes,Interfaces,InputConnection,Changed
24,Package,android.view.inputmethod,Changes,Classes,InputConnectionWrapper,Changed
24,Package,android.view.inputmethod,Changes,Classes,InputMethodManager,Changed
24,Package,android.view.inputmethod,Changes,Classes,InputMethodSubtype,Changed
24,Package,android.view.inputmethod,Changes,Classes,InputMethodSubtype.InputMethodSubtypeBuilder,Changed
24,Package,android.view.textservice,Changes,Classes,SpellCheckerSubtype,Changed
24,Package,android.webkit,Changes,Classes,ServiceWorkerClient,Added
